video_path,binary_label,type_label
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse001_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse002_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse003_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse004_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse005_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse006_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse007_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse008_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse009_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse010_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse011_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse012_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse013_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse014_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse015_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse016_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse017_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse018_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse019_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse020_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse021_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse022_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse023_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse024_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse025_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse026_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse027_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse028_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse029_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse030_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse031_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse032_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse033_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse034_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse035_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse036_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse037_x264.mp4,1,0
C:\Users\shrit\Desktop\Ml_Projects\HackTheNest\anomaly-detection-dataset-UCF\videos\Abuse\Abuse038_x264.mp4,1,0
